data,values,cod,abbreviation,kurs_rub
1961-11-01,Bolg lion,975,BGN,0.1323
1961-12-01,Bolg lion,975,BGN,0.1323
1962-01-01,Bolg lion,975,BGN,0.7692
1962-02-01,Bolg lion,975,BGN,0.7692
1962-03-01,Bolg lion,975,BGN,0.7692
1962-04-01,Bolg lion,975,BGN,0.7692
1962-05-01,Bolg lion,975,BGN,0.7692
1962-06-01,Bolg lion,975,BGN,0.7692
1962-07-01,Bolg lion,975,BGN,0.7692
1962-08-01,Bolg lion,975,BGN,0.7692
1962-09-01,Bolg lion,975,BGN,0.7692
1962-10-01,Bolg lion,975,BGN,0.7692
1962-11-01,Bolg lion,975,BGN,0.7692
1962-12-01,Bolg lion,975,BGN,0.7692
1963-01-01,Bolg lion,975,BGN,0.7692
1963-02-01,Bolg lion,975,BGN,0.7692
1963-03-01,Bolg lion,975,BGN,0.7692
1963-04-01,Bolg lion,975,BGN,0.7692
1963-05-01,Bolg lion,975,BGN,0.7692
1963-06-01,Bolg lion,975,BGN,0.7692
1963-07-01,Bolg lion,975,BGN,0.7692
1963-08-01,Bolg lion,975,BGN,0.7692
1963-09-01,Bolg lion,975,BGN,0.7692
1963-10-01,Bolg lion,975,BGN,0.7692
1963-11-01,Bolg lion,975,BGN,0.7692
1963-12-01,Bolg lion,975,BGN,0.7692
1964-01-01,Bolg lion,975,BGN,0.7692
1964-02-01,Bolg lion,975,BGN,0.7692
1964-03-01,Bolg lion,975,BGN,0.7692
1964-04-01,Bolg lion,975,BGN,0.7692
1964-05-01,Bolg lion,975,BGN,0.7692
1964-06-01,Bolg lion,975,BGN,0.7692
1964-07-01,Bolg lion,975,BGN,0.7692
1964-08-01,Bolg lion,975,BGN,0.7692
1964-09-01,Bolg lion,975,BGN,0.7692
1964-10-01,Bolg lion,975,BGN,0.7692
1964-11-01,Bolg lion,975,BGN,0.7692
1964-12-01,Bolg lion,975,BGN,0.7692
1965-01-01,Bolg lion,975,BGN,0.7692
1965-02-01,Bolg lion,975,BGN,0.7692
1965-03-01,Bolg lion,975,BGN,0.7692
1965-04-01,Bolg lion,975,BGN,0.7692
1965-05-01,Bolg lion,975,BGN,0.7692
1965-06-01,Bolg lion,975,BGN,0.7692
1965-07-01,Bolg lion,975,BGN,0.7692
1965-08-01,Bolg lion,975,BGN,0.7692
1965-09-01,Bolg lion,975,BGN,0.7692
